id,project_code,po_/_so_#,asn/dn_#,country,managed_by,vendor_inco_term,shipment_mode,pq_first_sent_to_client_date,po_sent_to_vendor_date,scheduled_delivery_date,delivered_to_client_date,delivery_recorded_date,product_group,sub_classification,vendor,unit_of_measure_per_pack,line_item_quantity,line_item_value,unit_price,manufacturing_site,weight_kilograms,freight_cost_usd
1,100-CI-T01,SCMS-4,ASN-8,Côte d'Ivoire,PMO - US,EXW,Air,2012-07-26,2012-06-07,2006-06-02,2006-06-02,2006-06-02,HRDT,HIV test,RANBAXY Fine Chemicals LTD.,30,19,551.0,0.97,Ranbaxy Fine Chemicals LTD,13.0,780.34
3,108-VN-T01,SCMS-13,ASN-85,Vietnam,PMO - US,EXW,Air,2012-07-26,2012-06-07,2006-11-14,2006-11-14,2006-11-14,ARV,Pediatric,Aurobindo Pharma Limited,240,1000,6200.0,0.03,"Aurobindo Unit III, India",358.0,4521.5
4,100-CI-T01,SCMS-20,ASN-14,Côte d'Ivoire,PMO - US,FCA,Air,2012-07-26,2012-06-07,2006-08-27,2006-08-27,2006-08-27,HRDT,HIV test,Abbott GmbH & Co. KG,100,500,40000.0,0.8,ABBVIE GmbH & Co.KG Wiesbaden,171.0,1653.78
15,108-VN-T01,SCMS-78,ASN-50,Vietnam,PMO - US,EXW,Air,2012-07-26,2012-06-07,2006-09-01,2006-09-01,2006-09-01,ARV,Adult,SUN PHARMACEUTICAL INDUSTRIES LTD (RANBAXY LABORATORIES LIMITED),60,31920,127360.8,0.07,"Ranbaxy, Paonta Shahib, India",1855.0,16007.06
16,108-VN-T01,SCMS-81,ASN-55,Vietnam,PMO - US,EXW,Air,2012-07-26,2012-06-07,2006-08-11,2006-08-11,2006-08-11,ARV,Adult,Aurobindo Pharma Limited,60,38000,121600.0,0.05,"Aurobindo Unit III, India",7590.0,45450.08
23,112-NG-T01,SCMS-87,ASN-57,Nigeria,PMO - US,EXW,Air,2012-07-26,2012-06-07,2006-09-28,2006-09-28,2006-09-28,ARV,Pediatric,Aurobindo Pharma Limited,240,416,2225.6,0.02,"Aurobindo Unit III, India",504.0,5920.42
44,110-ZM-T01,SCMS-139,ASN-130,Zambia,PMO - US,DDU,Air,2012-07-26,2012-06-07,2007-01-08,2007-01-08,2007-01-08,ARV,Pediatric,MERCK SHARP & DOHME IDEA GMBH (FORMALLY MERCK SHARP & DOHME B.V.),90,135,4374.0,0.36,MSD South Granville Australia,328.0,5869.655000000001
45,109-TZ-T01,SCMS-140,ASN-94,Tanzania,PMO - US,EXW,Air,2012-07-26,2012-06-07,2006-11-24,2006-11-24,2006-11-24,ARV,Adult,Aurobindo Pharma Limited,60,16667,60834.55,0.06,"Aurobindo Unit III, India",1478.0,6212.41
46,112-NG-T01,SCMS-156,ASN-93,Nigeria,PMO - US,EXW,Air,2012-07-26,2012-06-07,2006-12-07,2006-12-07,2006-12-07,ARV,Adult,Aurobindo Pharma Limited,60,273,532.35,0.03,"Aurobindo Unit III, India",1047.0,5869.655000000001
47,110-ZM-T01,SCMS-165,ASN-199,Zambia,PMO - US,CIP,Air,2012-07-26,2006-11-13,2007-01-30,2007-01-30,2007-01-30,ARV,Adult,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),120,2800,115080.0,0.34,ABBVIE (Abbott) St. P'burg USA,643.0,5869.655000000001
60,110-ZM-T01,SCMS-221,ASN-223,Zambia,PMO - US,CIP,Air,2012-07-26,2006-12-01,2007-02-16,2007-02-16,2007-02-16,ARV,Adult,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),120,2800,115080.0,0.34,ABBVIE Ludwigshafen Germany,643.0,5869.655000000001
61,110-ZM-T01,SCMS-226,ASN-137,Zambia,PMO - US,EXW,Air,2012-07-26,2012-06-07,2007-01-08,2007-01-08,2007-01-08,HRDT,HIV test,"Trinity Biotech, Plc",20,2500,100000.0,2.0,"Trinity Biotech, Plc",853.0,13569.49
62,102-NG-T01,SCMS-230,ASN-144,Nigeria,PMO - US,EXW,Air,2012-07-26,2012-06-07,2007-01-10,2007-01-10,2007-01-10,HRDT,HIV test,EY Laboratories,100,10,850.0,0.85,"EY Laboratories, USA",1047.0,5869.655000000001
64,107-RW-T01,SCMS-268,ASN-242,Rwanda,PMO - US,EXW,Air,2012-07-26,2006-12-22,2007-02-27,2007-02-27,2007-02-27,ARV,Adult,CIPLA LIMITED,60,10000,99800.0,0.17,"Cipla, Goa, India",7416.0,64179.42
65,106-HT-T01,SCMS-274,ASN-162,Haiti,PMO - US,EXW,Air,2012-07-26,2012-06-07,2007-01-18,2007-01-18,2007-01-18,HRDT,HIV test,Abbott GmbH & Co. KG,100,750,60000.0,0.8,ABBVIE GmbH & Co.KG Wiesbaden,256.0,1760.32
68,113-ZW-T01,SCMS-308,ASN-285,Zimbabwe,PMO - US,CIP,Air,2012-07-26,2007-01-10,2007-03-19,2007-03-19,2007-03-19,ARV,Pediatric,BRISTOL-MYERS SQUIBB,60,579,14764.5,0.42,"BMS Meymac, France",1047.0,5869.655000000001
69,102-NG-T01,SCMS-354,ASN-608,Nigeria,PMO - US,CIP,Unknown,2012-07-26,2012-06-07,2007-05-07,2007-05-07,2007-05-07,HRDT,HIV test,ACCOUN NIGERIA LIMITED,100,1500,120000.0,0.8,ABBVIE GmbH & Co.KG Wiesbaden,1047.0,5869.655000000001
80,107-RW-T01,SCMS-488,ASN-299,Rwanda,PMO - US,EXW,Air,2012-07-26,2012-06-07,2007-03-29,2007-03-29,2007-03-29,HRDT,HIV test,Premier Medical Corporation Ltd.,30,2000,33000.0,0.55,Premier Med. Corp Ltd. India,710.0,3120.7
87,109-TZ-T01,SCMS-555,ASN-409,Tanzania,PMO - US,CIP,Air,2012-07-26,2007-04-12,2007-06-06,2007-06-06,2007-06-06,ARV,Pediatric,BRISTOL-MYERS SQUIBB,200,712,8964.08,0.06,"BMS Meymac, France",162.0,912.96
92,102-NG-T01,SCMS-592,ASN-485,Nigeria,PMO - US,EXW,Air,2012-07-26,2007-05-13,2007-06-19,2007-06-19,2007-06-19,HRDT,HIV test,Abbott GmbH & Co. KG,100,1000,80000.0,0.8,ABBVIE GmbH & Co.KG Wiesbaden,341.0,2682.47
96,102-NG-T01,SCMS-570,ASN-451,Nigeria,PMO - US,EXW,Air,2012-07-26,2007-05-17,2007-06-19,2007-06-19,2007-06-19,HRDT,HIV test,"CHEMBIO DIAGNOSTIC SYSTEMS, INC.",20,7500,202500.0,1.35,Chembio Diagnostics Sys. Inc.,2278.0,15893.71
108,104-CI-T01,SCMS-698,ASN-727,Côte d'Ivoire,PMO - US,CIP,Air,2012-07-26,2007-07-13,2007-10-02,2007-10-02,2007-10-02,ARV,Pediatric,BRISTOL-MYERS SQUIBB,60,5513,140581.5,0.42,"BMS Meymac, France",2126.0,5869.655000000001
115,108-VN-T01,SCMS-753,ASN-781,Vietnam,PMO - US,EXW,Air,2012-07-26,2007-07-04,2007-10-15,2007-10-15,2007-10-15,ARV,Pediatric,Aurobindo Pharma Limited,240,1000,1920.0,0.01,"Aurobindo Unit III, India",941.0,4193.49
116,108-VN-T01,SCMS-759,ASN-632,Vietnam,PMO - US,FCA,Air,2012-07-26,2007-07-04,2007-08-27,2007-08-27,2007-08-27,ARV,Adult,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),120,500,41095.0,0.68,ABBVIE Ludwigshafen Germany,117.0,1767.38
130,100-HT-T01,SCMS-10080,ASN-628,Haiti,PMO - US,EXW,Air,2012-07-26,2007-07-26,2007-08-13,2007-08-21,2007-08-21,HRDT,HIV test,"Orgenics, Ltd",100,750,53992.5,0.72,Inverness Japan,171.0,3518.38
134,100-HT-T01,SCMS-10130,ASN-616,Haiti,PMO - US,EXW,Air,2012-07-26,2007-07-26,2007-08-25,2007-08-25,2007-08-25,HRDT,HIV test,Orasure Technologies Inc.,100,25,8750.0,3.5,"Pacific Biotech, Thailand",60.0,3097.85
138,109-TZ-T01,SCMS-10270,ASN-710,Tanzania,PMO - US,EXW,Air,2012-07-26,2012-06-07,2007-10-16,2007-10-16,2007-10-16,HRDT,HIV test,"Standard Diagnostics, Inc.",25,10000,200000.0,0.8,"Standard Diagnostics, Korea",3335.0,27869.74
139,109-TZ-T01,SCMS-10290,ASN-788,Tanzania,PMO - US,EXW,Air,2012-07-26,2012-06-07,2007-11-22,2007-11-22,2007-11-22,HRDT,HIV test,"Standard Diagnostics, Inc.",25,10000,200000.0,0.8,"Standard Diagnostics, Korea",3335.0,28461.1
140,109-TZ-T01,SCMS-10300,ASN-856,Tanzania,PMO - US,EXW,Air,2012-07-26,2012-06-07,2007-11-22,2007-11-22,2007-11-22,HRDT,HIV test,"Standard Diagnostics, Inc.",25,10000,200000.0,0.8,"Standard Diagnostics, Korea",3335.0,28359.8
161,117-ET-T01,SCMS-11070,ASN-916,Ethiopia,PMO - US,EXW,Air,2012-07-26,2007-10-03,2007-11-20,2007-11-20,2007-11-20,ARV,Adult,Aurobindo Pharma Limited,60,64000,99200.0,0.03,"Aurobindo Unit III, India",4228.0,12237.61
176,102-NG-T01,SCMS-11750,ASN-745,Nigeria,PMO - US,EXW,Air,2012-07-26,2007-08-28,2007-10-03,2007-10-03,2007-10-03,HRDT,HIV test,"CHEMBIO DIAGNOSTIC SYSTEMS, INC.",20,10000,270000.0,1.35,Chembio Diagnostics Sys. Inc.,3263.0,20885.78
262,116-ZA-T01,SCMS-14050,ASN-1251,South Africa,PMO - US,DDP,Unknown,2012-07-26,2007-11-12,2008-01-29,2008-01-29,2008-01-29,ARV,Pediatric,"JSI R&T INSTITUTE, INC.",200,40,317.6,0.04,GSK Mississauga (Canada),1047.0,5869.655000000001
269,108-VN-T01,SCMS-14190,ASN-1192,Vietnam,PMO - US,EXW,Air,2012-07-26,2007-11-19,2008-01-21,2008-01-21,2008-01-21,ARV,Adult,"GILEAD SCIENCES IRELAND, INC.",30,1000,17000.0,0.57,Gilead(Nycomed) Oranienburg DE,76.0,2282.57
270,108-VN-T01,SCMS-14200,ASN-1171,Vietnam,PMO - US,EXW,Air,2012-07-26,2007-11-21,2008-01-21,2008-01-21,2008-01-21,ARV,Adult,SUN PHARMACEUTICAL INDUSTRIES LTD (RANBAXY LABORATORIES LIMITED),60,400,3352.0,0.14,"Ranbaxy, Paonta Shahib, India",23.0,2149.05
284,107-RW-T01,SCMS-14630,ASN-1253,Rwanda,PMO - US,EXW,Air,2012-07-26,2007-12-10,2008-01-31,2008-01-31,2008-01-31,HRDT,HIV test - Ancillary,"Orgenics, Ltd",100,1500,15.0,0.0,Inverness Japan,99.0,0.75
305,123-NG-T01,SCMS-15550,ASN-1269,Nigeria,PMO - US,EXW,Air,2012-07-26,2012-06-07,2008-02-05,2008-02-05,2008-02-05,HRDT,HIV test - Ancillary,"Orgenics, Ltd",100,650,6.5,0.0,Inverness Japan,1047.0,5869.655000000001
343,116-ZA-T01,SCMS-16600,ASN-1520,South Africa,PMO - US,DDP,Unknown,2012-07-26,2008-01-04,2008-01-21,2008-01-04,2008-01-04,ARV,Pediatric,"JSI R&T INSTITUTE, INC.",200,200,340.0,0.01,"BMS Meymac, France",1047.0,5869.655000000001
361,125-HT-T01,SCMS-14080,ASN-1318,Haiti,PMO - US,EXW,Air,2012-07-26,2012-06-07,2008-02-18,2008-02-18,2008-02-18,HRDT,HIV test,"Trinity Biotech, Plc",100,2,278.0,1.39,"Trinity Biotech, Plc",1047.0,5869.655000000001
391,104-CI-T01,SCMS-18290,ASN-1879,Côte d'Ivoire,PMO - US,EXW,Air,2012-07-26,2008-02-27,2008-06-17,2008-06-17,2008-06-17,HRDT,HIV test,BIO-RAD LABORATORIES (FRANCE),40,476,36176.0,1.9,Bio-Rad Laboratories,509.0,5446.51
392,104-CI-T01,SCMS-18310,ASN-3435,Côte d'Ivoire,PMO - US,EXW,Air,2012-07-26,2008-03-03,2009-03-19,2009-03-19,2009-03-19,HRDT,HIV test,"Standard Diagnostics, Inc.",25,659,13180.0,0.8,"Standard Diagnostics, Korea",206.0,2656.12
398,102-GY-T01,SCMS-18480,ASN-1502,Guyana,PMO - US,EXW,Air,2012-07-26,2008-02-28,2008-04-09,2008-04-01,2008-04-01,HRDT,HIV test - Ancillary,"Orgenics, Ltd",100,240,2.4,0.0,Inverness Japan,1047.0,5869.655000000001
399,102-GY-T01,SCMS-18500,ASN-2117,Guyana,PMO - US,EXW,Air,2012-07-26,2008-02-28,2008-07-28,2008-07-28,2008-07-28,HRDT,HIV test - Ancillary,"Orgenics, Ltd",100,213,2.13,0.0,Inverness Japan,14.0,360.0
400,117-ET-T01,SCMS-18430,ASN-1465,Ethiopia,PMO - US,DDP,Unknown,2012-07-26,2008-02-29,2008-03-11,2008-03-11,2008-03-11,HRDT,HIV test,TURE PHARMACEUTICALS & MEDICAL SUPPLIES P.L.C.,100,63,13399.25,2.13,"Trinity Biotech, Plc",1047.0,5869.655000000001
410,113-ZW-T01,SCMS-18870,ASN-2434,Zimbabwe,PMO - US,EXW,Air,2012-07-26,2008-03-17,2008-11-17,2008-11-17,2008-11-17,HRDT,HIV test,"Orgenics, Ltd",100,1634,117631.66,0.72,Inverness Japan,373.0,4112.46
411,123-NG-T01,SCMS-18940,ASN-1467,Nigeria,PMO - US,EXW,Air,2012-07-26,2008-03-13,2008-04-17,2008-04-17,2008-04-17,HRDT,HIV test,"CHEMBIO DIAGNOSTIC SYSTEMS, INC.",20,1425,38475.0,1.35,Chembio Diagnostics Sys. Inc.,483.0,5468.88
414,119-NA-T01,SCMS-19130,ASN-1798,Namibia,PMO - US,EXW,Air,2012-07-26,2008-03-18,2008-06-04,2008-06-04,2008-06-04,HRDT,HIV test,"Orgenics, Ltd",100,142,10222.58,0.72,Inverness Japan,33.0,1715.17
420,108-VN-T01,SCMS-19490,ASN-1753,Vietnam,PMO - US,EXW,Air,2012-07-26,2008-03-31,2008-06-03,2008-06-03,2008-06-03,ARV,Adult,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),30,8400,96432.0,0.38,Mylan (formerly Matrix) Nashik,654.0,4051.34
422,116-ZA-T01,SCMS-19800,ASN-1665,South Africa,PMO - US,DDP,Truck,2012-07-26,2008-02-20,2008-04-24,2008-04-24,2008-04-24,ARV,Adult,S. BUYS WHOLESALER,270,6,405.06,0.25,Roche Basel,1047.0,5869.655000000001
423,116-ZA-T01,SCMS-19800,ASN-1665,South Africa,PMO - US,DDP,Truck,2012-07-26,2008-02-20,2008-04-24,2008-04-24,2008-04-24,ARV,Pediatric,S. BUYS WHOLESALER,200,600,870.0,0.01,"BMS Meymac, France",1047.0,5869.655000000001
438,108-VN-T01,SCMS-20310,ASN-1923,Vietnam,PMO - US,CIP,Air,2012-07-26,2008-03-31,2008-07-12,2008-07-12,2008-07-12,ARV,Pediatric,BRISTOL-MYERS SQUIBB,60,400,2800.0,0.12,"BMS Meymac, France",81.0,2211.05
459,116-ZA-T01,SCMS-21460,ASN-1667,South Africa,PMO - US,DDP,Unknown,2012-07-26,2008-04-04,2008-04-25,2008-04-07,2008-04-07,ARV,Pediatric,S. BUYS WHOLESALER,60,6,77.1,0.21,"BMS Meymac, France",1047.0,5869.655000000001
464,102-NG-T01,SCMS-21540,ASN-2008,Nigeria,PMO - US,EXW,Air,2012-07-26,2012-06-07,2008-07-09,2008-07-09,2008-07-09,HRDT,HIV test,"Orgenics, Ltd",100,5498,439785.02,0.8,Inverness Japan,1251.0,16090.22
465,102-NG-T01,SCMS-21540,ASN-2011,Nigeria,PMO - US,EXW,Air,2012-07-26,2012-06-07,2008-07-09,2008-07-04,2008-07-04,HRDT,HIV test - Ancillary,"Orgenics, Ltd",100,5498,54.98,0.0,Inverness Japan,1047.0,5869.655000000001
466,117-ET-T01,SCMS-21550,ASN-1741,Ethiopia,PMO - US,DDP,Air,2012-07-26,2012-06-07,2008-05-09,2008-05-09,2008-05-09,HRDT,HIV test,TURE PHARMACEUTICALS & MEDICAL SUPPLIES P.L.C.,20,15,691.42,2.3,"Trinity Biotech, Plc",1047.0,5869.655000000001
530,108-VN-T01,SCMS-23450,ASN-2336,Vietnam,PMO - US,EXW,Air,2012-07-26,2008-05-14,2008-09-19,2008-09-19,2008-09-19,ARV,Adult,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),30,1344,18359.04,0.46,Mylan (formerly Matrix) Nashik,1537.0,13507.92
531,116-ZA-T01,SCMS-23500,ASN-2783,South Africa,PMO - US,DDP,Truck,2012-07-26,2012-06-07,2008-08-20,2008-08-20,2008-08-20,ARV,Adult,S. BUYS WHOLESALER,60,20,103.4,0.09,"BMS Meymac, France",1047.0,5869.655000000001
532,116-ZA-T01,SCMS-23500,ASN-2293,South Africa,PMO - US,DDP,Truck,2012-07-26,2012-06-07,2008-08-20,2008-05-08,2008-05-08,ARV,Adult,S. BUYS WHOLESALER,30,100,1906.0,0.64,"BMS Meymac, France",1047.0,5869.655000000001
533,116-ZA-T01,SCMS-23500,ASN-2293,South Africa,PMO - US,DDP,Truck,2012-07-26,2012-06-07,2008-08-20,2008-05-08,2008-05-08,ARV,Pediatric,S. BUYS WHOLESALER,200,670,1025.1,0.01,"BMS Meymac, France",1047.0,5869.655000000001
535,109-TZ-T01,SCMS-23610,ASN-2167,Tanzania,PMO - US,CIP,Air,2012-07-26,2008-05-15,2008-09-02,2008-09-02,2008-09-02,ARV,Adult,BRISTOL-MYERS SQUIBB,30,2597,61470.99,0.79,"BMS Meymac, France",117.0,645.1
543,106-HT-T01,SCMS-23840,ASN-2504,Haiti,PMO - US,EXW,Air,2012-07-26,2008-05-20,2008-09-30,2008-09-30,2008-09-30,HRDT,HIV test,Orasure Technologies Inc.,100,28,9800.0,3.5,"Pacific Biotech, Thailand",109.0,782.13
551,106-HT-T01,SCMS-24020,ASN-2865,Haiti,PMO - US,EXW,Air,2012-07-26,2008-05-23,2008-11-24,2008-11-24,2008-11-24,HRDT,HIV test,"Trinity Biotech, Plc",100,84,11676.0,1.39,"Trinity Biotech, Plc",54.0,871.57
598,116-ZA-T01,SCMS-25540,ASN-2295,South Africa,PMO - US,DDP,Truck,2012-07-26,2012-06-07,2008-06-12,2008-06-09,2008-06-09,ARV,Adult,S. BUYS WHOLESALER,60,30,1049.4,0.58,GSK Ware (UK),1047.0,5869.655000000001
610,108-VN-T01,SCMS-26180,ASN-2274,Vietnam,PMO - US,EXW,Air,2012-07-26,2008-07-01,2008-09-19,2008-09-19,2008-09-19,ARV,Adult,Aurobindo Pharma Limited,60,38640,92736.0,0.04,"Aurobindo Unit III, India",2719.0,18614.72
630,112-NG-T01,SCMS-26560,ASN-2366,Nigeria,PMO - US,EXW,Air,2012-07-26,2008-07-02,2009-02-25,2008-09-09,2008-09-09,ACT,ACT,IDA FOUNDATION,540,34,1547.68,0.08,"Novartis Pharma AG, Switzerland",115.0,1755.87
637,108-VN-T01,SCMS-26200,ASN-2563,Vietnam,PMO - US,EXW,Air,2012-07-26,2008-07-03,2008-10-08,2008-10-08,2008-10-08,ARV,Adult,Aurobindo Pharma Limited,60,42000,60900.0,0.02,"Aurobindo Unit III, India",2600.0,10179.16
646,116-ZA-T01,SCMS-26820,ASN-2488,South Africa,PMO - US,DDP,Truck,2012-07-26,2012-06-07,2008-07-10,2008-07-08,2008-07-08,ARV,Pediatric,S. BUYS WHOLESALER,240,50,696.5,0.06,"BI, Ingelheim, Germany",1047.0,5869.655000000001
660,108-VN-T01,SCMS-27360,ASN-2767,Vietnam,PMO - US,EXW,Air,2012-07-26,2008-07-24,2008-11-27,2008-11-27,2008-11-27,ARV,Adult,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),30,16800,171192.0,0.34,Mylan (formerly Matrix) Nashik,1224.0,4686.88
668,102-GY-T01,SCMS-27670,ASN-2255,Guyana,PMO - US,CIP,Air,2012-07-26,2008-07-25,2008-08-15,2008-08-15,2008-08-15,MRDT,Malaria,ZEPHYR BIOMEDICALS,25,98,3675.0,1.5,Not Applicable,34.0,180.0
670,110-ZM-T01,SCMS-27790,ASN-2641,Zambia,PMO - US,EXW,Air,2012-07-26,2008-07-31,2008-10-20,2008-10-20,2008-10-20,HRDT,HIV test,"Orgenics, Ltd",100,4500,323955.0,0.72,Inverness Japan,1053.0,11062.05
712,119-NA-T01,SCMS-28840,ASN-2450,Namibia,PMO - US,EXW,Air,2012-07-26,2008-08-26,2008-09-18,2008-09-18,2008-09-18,HRDT,HIV test,"Trinity Biotech, Plc",20,10,320.0,1.6,"Trinity Biotech, Plc",1047.0,5869.655000000001
717,104-CI-T01,SCMS-29140,ASN-2472,Côte d'Ivoire,PMO - US,EXW,Air,2012-07-26,2008-08-27,2008-10-02,2008-10-02,2008-10-02,HRDT,HIV test,BIO-RAD LABORATORIES (FRANCE),40,500,38000.0,1.9,Bio-Rad Laboratories,562.0,11298.13
719,104-CI-T01,SCMS-29340,ASN-2921,Côte d'Ivoire,PMO - US,EXW,Air,2012-07-26,2008-09-03,2009-01-23,2009-01-23,2009-01-23,ACT,ACT,IDA FOUNDATION,12,25000,9750.0,0.03,Ipca Dadra/Nagar Haveli IN,1708.0,12830.91
772,131-NG-T01,SCMS-30502,ASN-3653,Nigeria,PMO - US,CIP,Air,2012-07-26,2009-03-06,2009-03-10,2009-04-08,2009-04-08,ARV,Adult,MERCK SHARP & DOHME IDEA GMBH (FORMALLY MERCK SHARP & DOHME B.V.),30,9,453.6,1.68,"MSD, Haarlem, NL",1047.0,5869.655000000001
791,119-NA-T01,SCMS-31180,ASN-2717,Namibia,PMO - US,EXW,Air,2012-07-26,2008-09-24,2008-10-29,2008-10-29,2008-10-29,HRDT,HIV test,"Orgenics, Ltd",100,150,10798.5,0.72,Inverness Japan,46.0,2698.04
796,102-BW-T01,SCMS-31370,ASN-2796,Botswana,PMO - US,EXW,Air,2012-07-26,2008-10-02,2008-11-28,2008-11-28,2008-11-28,HRDT,HIV test - Ancillary,"Trinity Biotech, Plc",2,15,450.0,15.0,"Trinity Biotech, Plc",1.0,578.01
797,110-ZM-T01,SCMS-31380,ASN-3172,Zambia,PMO - US,EXW,Air,2012-07-26,2008-10-02,2009-01-23,2009-01-23,2009-01-23,HRDT,HIV test,"Standard Diagnostics, Inc.",25,319,6380.0,0.8,"Standard Diagnostics, Korea",100.0,1122.24
835,116-ZA-T01,SCMS-33320,ASN-3553,South Africa,PMO - US,DDP,Truck,2012-07-26,2012-06-07,2009-05-17,2008-10-09,2008-10-09,ARV,Adult,S. BUYS WHOLESALER,30,80,1830.4,0.76,"Aspen-OSD, Port Elizabeth, SA",1047.0,5869.655000000001
836,116-ZA-T01,SCMS-33320,ASN-3892,South Africa,PMO - US,DDP,Truck,2012-07-26,2012-06-07,2009-05-17,2009-05-17,2009-05-17,ARV,Adult,S. BUYS WHOLESALER,30,120,2745.6,0.76,"Aspen-OSD, Port Elizabeth, SA",1047.0,5869.655000000001
837,116-ZA-T01,SCMS-33320,ASN-3553,South Africa,PMO - US,DDP,Truck,2012-07-26,2012-06-07,2009-05-17,2008-10-09,2008-10-09,ARV,Pediatric,S. BUYS WHOLESALER,200,600,858.0,0.01,"BMS Meymac, France",1047.0,5869.655000000001
838,116-ZA-T01,SCMS-33320,ASN-3553,South Africa,PMO - US,DDP,Truck,2012-07-26,2012-06-07,2009-05-17,2008-10-09,2008-10-09,ARV,Pediatric,S. BUYS WHOLESALER,60,7,91.35,0.22,"BMS Meymac, France",1047.0,5869.655000000001
839,116-ZA-T01,SCMS-33320,ASN-3553,South Africa,PMO - US,DDP,Truck,2012-07-26,2012-06-07,2009-05-17,2008-10-09,2008-10-09,ARV,Pediatric,S. BUYS WHOLESALER,300,40,1375.6,0.11,ABBVIE (Abbott) Logis. UK,1047.0,5869.655000000001
849,102-GY-T01,SCMS-33930,ASN-3209,Guyana,PMO - US,CIP,Air,2012-07-26,2008-11-19,2009-02-06,2009-02-06,2009-02-06,MRDT,Malaria,ZEPHYR BIOMEDICALS,25,108,4050.0,1.5,Not Applicable,1047.0,5869.655000000001
858,109-TZ-T01,SCMS-34680,ASN-3332,Tanzania,PMO - US,CIP,Air,2012-07-26,2008-12-19,2009-04-21,2009-04-21,2009-04-21,ARV,Adult,MERCK SHARP & DOHME IDEA GMBH (FORMALLY MERCK SHARP & DOHME B.V.),30,50000,2520000.0,1.68,"MSD, Haarlem, NL",4093.0,9339.0
914,104-CI-T01,SCMS-35790,ASN-3242,Côte d'Ivoire,PMO - US,EXW,Air,2012-07-26,2008-12-19,2009-03-02,2009-03-02,2009-03-02,ANTM,Malaria,IDA FOUNDATION,100,140,2731.4,0.2,Gland Pharma Ltd Pally Factory,5209.0,25405.22
937,111-MZ-T01,SCMS-36660,ASN-3509,Mozambique,PMO - US,EXW,Air,2012-07-26,2009-01-05,2009-03-23,2009-03-23,2009-03-23,HRDT,HIV test,"Trinity Biotech, Plc",20,5700,182400.0,1.6,"Trinity Biotech, Plc",1906.0,23914.8
960,108-VN-T01,SCMS-37170,ASN-3562,Vietnam,PMO - US,EXW,Air,2012-07-26,2009-01-16,2009-04-10,2009-04-10,2009-04-10,ARV,Adult,Aurobindo Pharma Limited,60,5964,51350.04,0.14,"Aurobindo Unit III, India",3509.0,12835.2
961,108-VN-T01,SCMS-37170,ASN-3562,Vietnam,PMO - US,EXW,Air,2012-07-26,2009-01-16,2009-04-10,2009-04-10,2009-04-10,ARV,Adult,Aurobindo Pharma Limited,60,21000,50400.0,0.04,"Aurobindo Unit III, India",1047.0,5869.655000000001
962,108-VN-T01,SCMS-37180,ASN-3521,Vietnam,PMO - US,EXW,Air,2012-07-26,2009-01-16,2009-03-23,2009-03-23,2009-03-23,ARV,Adult,CIPLA LIMITED,60,10560,72864.0,0.12,"Cipla, Goa, India",924.0,4225.93
979,108-VN-T01,SCMS-31721,ASN-3454,Vietnam,PMO - US,EXW,Air,2012-07-26,2008-10-21,2009-03-16,2009-03-16,2009-03-16,ARV,Adult,Aurobindo Pharma Limited,60,2352,20250.72,0.14,"Aurobindo Unit III, India",211.0,892.5
985,109-TZ-T01,SCMS-38370,ASN-3751,Tanzania,PMO - US,FCA,Air,2012-07-26,2009-02-05,2009-05-28,2009-05-28,2009-05-28,ARV,Pediatric,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),300,524,21536.4,0.14,ABBVIE (Abbott) Logis. UK,644.0,6668.61
986,109-TZ-T01,SCMS-38380,ASN-3627,Tanzania,PMO - US,FCA,Air,2012-07-26,2009-02-05,2009-05-04,2009-05-04,2009-05-04,ARV,Pediatric,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),60,2094,21526.32,0.17,ABBVIE Ludwigshafen Germany,237.0,5869.655000000001
993,107-RW-T01,SCMS-38660,ASN-3710,Rwanda,PMO - US,EXW,Air,2012-07-26,2009-02-18,2009-04-28,2009-04-28,2009-04-28,HRDT,HIV test,Premier Medical Corporation Ltd.,30,8249,185602.5,0.75,Premier Med. Corp Ltd. India,2800.0,12595.81
1037,123-NG-T01,SCMS-39640,ASN-4747,Nigeria,PMO - US,CIP,Air,2012-07-26,2009-03-04,2009-09-30,2009-09-30,2009-09-30,ARV,Adult,BRISTOL-MYERS SQUIBB,30,200,4734.0,0.79,"BMS Meymac, France",11.0,463.0
1046,106-HT-T01,SCMS-40000,ASN-3675,Haiti,PMO - US,CIP,Air,2012-07-26,2009-03-06,2009-03-31,2009-03-31,2009-03-31,ARV,Pediatric,BRISTOL-MYERS SQUIBB,60,80,760.0,0.16,"BMS Meymac, France",43.0,260.0
